timestamp_utc,event_type,details,status,message
2026-03-19T09:51:04.056244+00:00,chat_request,"{""message"": ""helo"", ""history_length"": 1}",started,Incoming chat request
2026-03-19T09:51:04.764974+00:00,chat_response,"{""message"": ""helo"", ""history_length"": 1}",success,No matching tests found
2026-03-19T09:51:07.365958+00:00,chat_request,"{""message"": ""aka"", ""history_length"": 3}",started,Incoming chat request
2026-03-19T09:51:07.827776+00:00,chat_response,"{""message"": ""aka"", ""history_length"": 3}",success,No matching tests found
2026-03-19T09:55:16.445447+00:00,chat_request,"{""message"": ""tensile"", ""history_length"": 1}",started,Incoming chat request
2026-03-19T09:55:17.964747+00:00,chat_response,"{""message"": ""tensile"", ""history_length"": 1}",success,No matching tests found.
2026-03-19T09:55:57.991882+00:00,chat_request,"{""message"": ""Company_1"", ""history_length"": 3}",started,Incoming chat request
2026-03-19T09:55:58.677650+00:00,chat_response,"{""message"": ""Company_1"", ""history_length"": 3}",success,No matching tests found
2026-03-19T09:56:09.510945+00:00,chat_request,"{""message"": ""11981"", ""history_length"": 5}",started,Incoming chat request
2026-03-19T09:56:10.030094+00:00,chat_response,"{""message"": ""11981"", ""history_length"": 5}",success,No matching tests found
2026-03-19T09:59:06.474646+00:00,chat_request,"{""message"": ""test"", ""history_length"": 1}",started,Incoming chat request
2026-03-19T09:59:06.966369+00:00,chat_response,"{""message"": ""test"", ""history_length"": 1}",success,No matching tests found
2026-03-19T10:48:53.241082+00:00,chat_request,"{""message"": ""Give me a summary for Test 3"", ""history_length"": 0}",started,Incoming chat request
2026-03-19T10:48:57.486306+00:00,chat_response,"{""message"": ""Give me a summary for Test 3"", ""role"": ""engineer"", ""history_length"": 0, ""db_available"": false}",success,"The test database is not reachable right now, so I cannot query live results. Please check the MongoDB connection and try again."
2026-03-19T10:51:28.214718+00:00,chat_request,"{""message"": ""Give me a summary for Test 3"", ""history_length"": 0}",started,Incoming chat request
2026-03-19T10:51:32.248563+00:00,chat_response,"{""message"": ""Give me a summary for Test 3"", ""role"": ""engineer"", ""history_length"": 0, ""db_available"": false}",success,"The test database is not reachable right now, so I cannot query live results. Please check the MongoDB connection and try again."
